,년도,직무명,장애유형,참고자료
0,2022,호텔웰컴패키지관리원,"발달, 여성, 장년",/cmm/fms/downloadDirect.do?key=9964044B36DD49102360
1,,여행 짐 관리원,"발달, 장년",/cmm/fms/downloadDirect.do?key=9446BE265570174E5B0E
2,,드라마 콘텐츠 발굴원,여성·청년,/cmm/fms/downloadDirect.do?key=6B40EABE4434C77A23C3
3,,도서항균관리원,발달,/cmm/fms/downloadDirect.do?key=B8521027CB0A87045989
4,,의복관리원,"발달, 여성·장년",/cmm/fms/downloadDirect.do?key=FE509A3FDB9AB3261B92
5,,친환경제품 검수원,중증,/cmm/fms/downloadDirect.do?key=961393BB0BD7EA0128AA
6,,이커머스산업 직무패키지원,"중증, 여성, 장년",/cmm/fms/downloadDirect.do?key=2322263D0E9A425FED7E
7,2021,이커머스 쇼핑파트너,"중증, 장년, 여성",/cmm/fms/downloadDirect.do?key=B526192AAA180AC26FC8
8,,의료서비스지원가,"중증, 장년, 여성",/cmm/fms/downloadDirect.do?key=37C04944FFDCC0338004
9,,실험동물관리원,장년,/cmm/fms/downloadDirect.do?key=8BEF37E88A6DD4B2A287
10,,무장애여행 플래너,중증,/cmm/fms/downloadDirect.do?key=EFE1E80C9EC836A30AC8
11,,알기쉬운자료 감수원,발달,/cmm/fms/downloadDirect.do?key=7698F79F89E51C4B58A1
12,,향기디자이너,"여성, 시각",/cmm/fms/downloadDirect.do?key=3DA092AE82D4F116E295
13,2020,원예교육보조교사,발달,/cmm/fms/downloadDirect.do?key=CA749D7C5DDAF298857D
14,,도보배달원,정신,/cmm/fms/downloadDirect.do?key=A85398E490CB09930026
15,,새싹재배사,"발달,중증",/cmm/fms/downloadDirect.do?key=91648164C36024246A99
16,,이커머스쇼핑파트너,"장년,발달 등",/cmm/fms/downloadDirect.do?key=A440059AED755C8E1379
17,,우리학교클린마스터,발달,/cmm/fms/downloadDirect.do?key=E213C5774F249B21F9FF
18,,치과병원보조원,"장년,중증",/cmm/fms/downloadDirect.do?key=72378A4DB6F9ADBF5302
19,2019,방진복 특수세정원,발달,/cmm/fms/downloadDirect.do?key=7E2AD571900E762D88BB
20,,온라인상품정보원,정신,/cmm/fms/downloadDirect.do?key=2F780BC07088649F7292
21,,마음보듬이,시각,/cmm/fms/downloadDirect.do?key=BD62D9DC04E44809457B
22,,도시양봉가,"정신, 장년",/cmm/fms/downloadDirect.do?key=6B85AB46388B74FC69BF
23,,테이블매니저,"청각, 여성",/cmm/fms/downloadDirect.do?key=D4834D840A0C304A57EE
24,,모바일게임 모니터링요원,장년,/cmm/fms/downloadDirect.do?key=3107D91C83621317D46C
25,2018,수제구두제작자,"장년, 청각",/cmm/fms/downloadDirect.do?key=E5B5B41F33480400C3B6
26,,신재생에너지 지킴이,"발달, 청각",/cmm/fms/downloadDirect.do?key=130DCBAA67FAE4C037BD
27,,실버케어매니저,장년,/cmm/fms/downloadDirect.do?key=073D0865477FAEFFA930
28,,영화복원가,발달,/cmm/fms/downloadDirect.do?key=C695AED6975AA2E71A3D
29,,이러닝컨설턴트,여성,/cmm/fms/downloadDirect.do?key=BF1001C5B594F8335B2F
30,,자전거정비사,발달,/cmm/fms/downloadDirect.do?key=332D14A95AC37D07EE9B
31,,직장 내 장애인 인식개선강사,중증,/cmm/fms/downloadDirect.do?key=A2B4E2125FC38A89C0F4
32,,티마스터,"발달, 여성",/cmm/fms/downloadDirect.do?key=B6BA24DA8698F412165A
33,2017,"검란, 주사액 패킹","청각, 발달",/cmm/fms/downloadDirect.do?key=D02C95E64487BA64CEC3
34,,데이터 매니저,발달,/cmm/fms/downloadDirect.do?key=A2FBE79864CA2BF2CA76
35,,온라인 패커,발달,/cmm/fms/downloadDirect.do?key=4B4E99F826E67FCDFA50
36,,음성전사직,전 유형,/cmm/fms/downloadDirect.do?key=4775EB67B879B115DC1F
37,,잡 매니저,"장년, 여성",/cmm/fms/downloadDirect.do?key=5D70D7112E323D76E2EF
38,,주거복지 도우미,중증,/cmm/fms/downloadDirect.do?key=884D2DE1AADF893985CE
39,,휠 마스터,발달,/cmm/fms/downloadDirect.do?key=3EB80478A46232265299
40,,IT 원격지원가,중증,/cmm/fms/downloadDirect.do?key=DCE451A038EC14D5F8F8
41,2016,면세점 서비스원,"중증, 여성",/cmm/fms/downloadDirect.do?key=21B4BBA468BF3D4D410A
42,,바이럴 마케터,"중증, 여성",/cmm/fms/downloadDirect.do?key=BB5D81B356F361717308
43,,방송제작 지원가,"여성, 중증",/cmm/fms/downloadDirect.do?key=7A472C2A04A2F7BF569F
44,,상품정보 분석가,"청각, 여성",/cmm/fms/downloadDirect.do?key=746E7BAFF10DE59575BB
45,,웹툰 작가,전 장애,/cmm/fms/downloadDirect.do?key=DA7521B839ECF973965F
46,,임상연구 사무원,"중증, 여성",/cmm/fms/downloadDirect.do?key=39192A9AC93521AF92DD
47,,편의점 스태프,발달,/cmm/fms/downloadDirect.do?key=125FB2C339A2E3184E3A
48,2015,교사,전 장애,/cmm/fms/downloadDirect.do?key=8DB47EB8DB9C4F7E2762
49,,렌터카 매니저,장년,/cmm/fms/downloadDirect.do?key=E1BD61529082C133BFF1
50,,병원보조원,"장년, 중증",/cmm/fms/downloadDirect.do?key=14EAE4E3FBC3FB967621
51,,생활체육 보조코치,발달,/cmm/fms/downloadDirect.do?key=29BE10AF076188F98027
52,,시니어 캐스트,장년,/cmm/fms/downloadDirect.do?key=B8853C71ADF156CBCBCB
53,,조사 보조원,"발달, 여성",/cmm/fms/downloadDirect.do?key=C8BA2D4B7AC1875BD5AC
54,2014,동료지원가,정신,/cmm/fms/downloadDirect.do?key=0CAAECF17F6BF1A52B44
55,,디지털 환경지킴이,장년,/cmm/fms/downloadDirect.do?key=3278C0F9B0A431FBD7C9
56,,여행상품 개발자,전 장애,/cmm/fms/downloadDirect.do?key=E51E6C5B65210CB1E923
57,,웹 퍼블리셔,청각,/cmm/fms/downloadDirect.do?key=F68ECF762D0A1C156CFA
58,,캐스트(테마파크),발달,/cmm/fms/downloadDirect.do?key=AAA60952B3CF5FF40A28
59,,IT 네트워크 전문가,청년(고학력),/cmm/fms/downloadDirect.do?key=08E25F4E6380C60CA461
60,2013,게임산업,지적,/cmm/fms/downloadDirect.do?key=96CA74F2F0785E30AEDD
61,,도시농부,발달,/cmm/fms/downloadDirect.do?key=ECC6CF093D5D187138E5
62,,도심공원 관리,"지적, 정신",/cmm/fms/downloadDirect.do?key=DAA4AA8C51C3945568FA
63,,동료지원가,정신,/cmm/fms/downloadDirect.do?key=7F896008835DBC22FF00
64,,디자인 아트,자폐,/cmm/fms/downloadDirect.do?key=30D923ED605F5EC850FA
65,,호텔리어,"발달, 시각",/cmm/fms/downloadDirect.do?key=1D1854B70C9DA838DFFF
66,,IT 네트워크 전문가,청년(고학력),/cmm/fms/downloadDirect.do?key=561DB7F9EC997C66434D
67,2012,네일아트,"청각, 여성",/cmm/fms/downloadDirect.do?key=86F56FB27AAE713D7A22
68,,"사무보조, 사서보조, 환경미화",발달,/cmm/fms/downloadDirect.do?key=7D462E95DA1B691B2255
69,,"제본, 복사, 배달",발달,/cmm/fms/downloadDirect.do?key=24EAD76609D26F1207E4
70,,카페매니저,정신,/cmm/fms/downloadDirect.do?key=DBF061FED5D601B7266B
71,2011,"금융고객상담, ATM기기 청소","청각, 뇌병변, 시각, 지체 등",/cmm/fms/downloadDirect.do?key=85114E78197CFB2F390E
72,,정부기관 사무보조,"발달, 정신",/cmm/fms/downloadDirect.do?key=638B94D7A760ADB8085B
73,,원격 컴퓨터 강사,지체,/cmm/fms/downloadDirect.do?key=99920AB0A33702794C31
74,,교육청 사무보조(커리어점프 희망일자리),"지적, 자폐성",/cmm/fms/downloadDirect.do?key=01BE3A58591E1AF65ED7
75,,e-스포츠 심판,지체,/cmm/fms/downloadDirect.do?key=7454C2FA43FD4376854D
76,2010,의료기관 사무보조,"지체, 시각, 청각 등",/cmm/fms/downloadDirect.do?key=E6750C6DCE7ABEFD3F9E
77,,정부기관 사무보조,"지체, 뇌병변",/cmm/fms/downloadDirect.do?key=3565238D1A9B1BBE22E3
78,2009,교통리포터,"지체, 신장",/cmm/fms/downloadDirect.do?key=93E244A0A184040CBAED
79,,"도서관 업무보조, 사무보조",발달,/cmm/fms/downloadDirect.do?key=5983B34D5651FBED0374
80,,"조립, 검사","청각, 지체",/cmm/fms/downloadDirect.do?key=0F3C6ABB898B5CD1A925
81,,헬스키퍼,시각,/cmm/fms/downloadDirect.do?key=66CCEBA3325C542E240E
82,2008,헬스키퍼,시각,/cmm/fms/downloadDirect.do?key=90FE55BDDD14B5DE075F
83,2007,공연 전시 가이드,시각,/cmm/fms/downloadDirect.do?key=C358181C3DD8C3BB4B71
84,,농업분야(작물재배),자폐성,/cmm/fms/downloadDirect.do?key=3D4C49E46CAFB12C1DAC
85,,헬스키퍼,시각,/cmm/fms/downloadDirect.do?key=6CC346B707B34E3BAEE0
86,2006,헬스키퍼,시각,/cmm/fms/downloadDirect.do?key=A69D3A94CBB051347C7A
87,2005,국가기록물 DB 구축,"정신, 신장, 뇌병변, 청각",/cmm/fms/downloadDirect.do?key=032A9C868A5822A44984
88,,도서관 사서보조,"정신, 청각, 안면",/cmm/fms/downloadDirect.do?key=7012391EBAB19FB22FAE
89,,쇼핑컨설턴트,"지체, 뇌병변, 신장, 시각",/cmm/fms/downloadDirect.do?key=8EA6B3601FD90AA04939
90,,스팀세차,지적,/cmm/fms/downloadDirect.do?key=F57A012AEC0D441A5836
91,,전화 민원상담,지체,/cmm/fms/downloadDirect.do?key=3A4B0019AE37446BBD79
92,2004,자동차 세차,지적,/cmm/fms/downloadDirect.do?key=C820D10A84CB64127B99
93,,인터넷 직업상담(재택),뇌병변,/cmm/fms/downloadDirect.do?key=4DD08062BEFEA8D7AF75
94,,정부부문 사무보조,"지체, 자폐성 등",/cmm/fms/downloadDirect.do?key=77BBDD0BA4C6793F7D12
95,2003,금형모델링,"지체, 뇌병변",/cmm/fms/downloadDirect.do?key=3791F318F501E1966D92
96,,외식서비스 및 주유소 세차,지적,/cmm/fms/downloadDirect.do?key=96C5685A75BDD0FF16A5
97,,웹콜마케터,지체,/cmm/fms/downloadDirect.do?key=32EF9655A6DE0415B273
98,,컴퓨터 수리,정신,/cmm/fms/downloadDirect.do?key=4254331181B2C02B8E20
99,,PCB-ARTWORK,지체,/cmm/fms/downloadDirect.do?key=A0B5E6235DED3F5A8A58
100,2002,간병사,지적,/cmm/fms/downloadDirect.do?key=F476976DD6B887AC31B3
101,,텔레마케팅,정신,/cmm/fms/downloadDirect.do?key=6136BB839540B35D2669
102,,환경 미화,지적,/cmm/fms/downloadDirect.do?key=05BA3EDE58528EB8C564
103,2001,외식업 서비스,지적,/cmm/fms/downloadDirect.do?key=C18FFD43EDA46536CE9B
104,,자료 입력원,신장,/cmm/fms/downloadDirect.do?key=E4A2843F9877C646D7E4
105,,컴퓨터 속기(1998년 첫 추진),시각,/cmm/fms/downloadDirect.do?key=DA2DDD4289CB34F6F808
